Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total valid votes polled +NOTA,% votes polled
12,Charthawal,None of the Above,,,,NOTA,1016,2,1018,314338,206964,0.494304332203587
12,Charthawal,VISHAL KUMAR,M,38,GEN,NINSHAD,975,0,975,314338,206964,0.473425072591844
12,Charthawal,AMITA SINGH,F,59,GEN,LD,549,0,549,314338,206964,0.266574733182485
12,Charthawal,ADESH KUMAR,M,48,SC,IND,443,1,444,314338,206964,0.215590494595671
12,Charthawal,FURAKAN,M,48,GEN,IND,385,0,385,314338,206964,0.186942208151651
12,Charthawal,JAIPAL SINGH SAINI,M,66,GEN,JSP,304,1,305,314338,206964,0.148097073990269
12,Charthawal,ARSAD MANSURI,M,36,GEN,ABVCP,281,0,281,314338,206964,0.136443533741855
13,Purqazi ,PRAMOD UTWAL,M,49,SC,BJP,77168,323,77491,313968,204319,38.1390884929619
13,Purqazi ,DEEPAK KUMAR,M,60,SC,INC,66135,103,66238,313968,204319,32.6006496702431
13,Purqazi ,ANIL KUMAR,M,42,SC,BSP,46145,256,46401,313968,204319,22.8373855694458
13,Purqazi ,CHOTI,F,43,SC,RLD,8185,42,8227,313968,204319,4.04911900777636
13,Purqazi ,UMA KIRAN,F,51,SC,SP,2558,12,2570,313968,204319,1.26488827640516
13,Purqazi ,None of the Above,,,,NOTA,1138,1,1139,313968,204319,0.560586671916527
13,Purqazi ,KAVITA,F,30,SC,NINSHAD,869,2,871,313968,204319,0.428683925583227
13,Purqazi ,ANIL KUMAR,M,52,SC,BMUP,578,1,579,313968,204319,0.284968993011123
13,Purqazi ,MANOJ KUMAR,M,33,SC,IND,298,0,298,313968,204319,0.146667979131804
13,Purqazi ,MITVA BHANVAR,M,41,SC,NALP,259,1,260,313968,204319,0.127965350920366
13,Purqazi ,AATMARAM,M,61,SC,IND,245,0,245,313968,204319,0.120582734521114
14,Muzaffar Nagar,KAPIL DEV AGARWAL,M,53,GEN,BJP,97298,540,97838,334332,215602,45.6187141265171
14,Muzaffar Nagar,GAURAV SWARUP BANSAL,M,47,GEN,SP,86860,274,87134,334332,215602,40.627783036243
14,Muzaffar Nagar,RAKESH KUMAR SHARMA,M,45,GEN,BSP,20810,228,21038,334332,215602,9.80934307522299
14,Muzaffar Nagar,PAYAL MAHESHWARI,F,29,GEN,RLD,5572,68,5640,334332,215602,2.62975068657941
14,Muzaffar Nagar,None of the Above,,,,NOTA,1130,3,1133,334332,215602,0.528281476577034
14,Muzaffar Nagar,SANGITA,F,42,GEN,IND,1008,0,1008,334332,215602,0.469997995048235
14,Muzaffar Nagar,MURTAZA SALMANI,M,27,GEN,CPI,491,0,491,334332,215602,0.228937515445123
14,Muzaffar Nagar,SHAHZAMA KHAN,M,30,GEN,IND,249,0,249,334332,215602,0.116100695205368
14,Muzaffar Nagar,ZAKIR ALI RANA,M,55,GEN,IND,240,0,240,334332,215602,0.111904284535294
14,Muzaffar Nagar,RAJ KISHOR,M,55,GEN,IND,199,0,199,334332,215602,0.0927873025938481
14,Muzaffar Nagar,KRISHAN PAL SINGH,M,58,GEN,BLOKSP,177,0,177,334332,215602,0.0825294098447794
14,Muzaffar Nagar,JAMSHED,M,54,GEN,IND,131,0,131,334332,215602,0.0610810886421814
14,Muzaffar Nagar,KARAN SINGH SAINI,M,48,GEN,JSP,92,0,92,334332,215602,0.0428966424051961
14,Muzaffar Nagar,REENU ALIAS SAKSHI,F,25,GEN,ABHM,81,0,81,334332,215602,0.0377676960306618
14,Muzaffar Nagar,BABITA,F,39,GEN,BRJ,55,0,55,334332,215602,0.0256447318726716
14,Muzaffar Nagar,SANJAY KUMAR,M,44,GEN,BJD(T),52,0,52,334332,215602,0.0242459283159804
14,Muzaffar Nagar,RISHI RAM,M,51,GEN,IND,44,0,44,334332,215602,0.0205157854981373
15,Khatauli,VIKRAM SINGH,M,48,GEN,BJP,94487,284,94771,298738,213096,44.6186947392209
15,Khatauli,CHANDAN SINGH CHAUHAN,M,28,GEN,SP,63262,135,63397,298738,213096,29.8476473856178
15,Khatauli,SHIVAN SINGH SAINI,M,33,GEN,BSP,37207,173,37380,298738,213096,17.5987043436502
15,Khatauli,SHAHNAWAZ RANA,M,44,GEN,RLD,12817,29,12846,298738,213096,6.04796565004096
15,Khatauli,BRAHM SINGH,M,59,GEN,CPI,822,1,823,298738,213096,0.38747281099048
15,Khatauli,None of the Above,,,,NOTA,693,1,694,298738,213096,0.326738919595861
15,Khatauli,JANARDAN SHARMA,M,64,GEN,HINUP,626,0,626,298738,213096,0.294724155139782
15,Khatauli,YAJPAL,M,61,GEN,IND,598,0,598,298738,213096,0.281541605069632
15,Khatauli,SURENDRA KUMAR,M,30,GEN,ABHM,332,0,332,298738,213096,0.156307379403207
15,Khatauli,ADESH,M,29,SC,BBPP,315,0,315,298738,213096,0.148303688289188
15,Khatauli,DEEPAK KUMAR,M,31,SC,IND,315,0,315,298738,213096,0.148303688289188
15,Khatauli,BHARATVIR,M,47,GEN,IND,312,0,312,298738,213096,0.146891272210243
15,Khatauli,AASHI GAUR,F,25,GEN,LD,207,0,207,298738,213096,0.0974567094471804
15,Khatauli,SATAYVEER SINGH,M,60,GEN,IND,201,0,201,298738,213096,0.0946318772892911
15,Khatauli,BRAJ BHUSHAN,M,49,GEN,BASAPA,147,1,148,298738,213096,0.0696791932279357
15,Khatauli,MAYA,F,51,SC,ABVCP,131,0,131,298738,213096,0.0616755021139161
16,Meerapur,AVTAR SINGH BHADANA,M,60,GEN,BJP,68921,114,69035,294158,204405,33.9547008336817
16,Meerapur,LIYAKAT ALI,M,65,GEN,SP,68757,85,68842,294158,204405,33.8597742419398
16,Meerapur,NAWAZISH ALAM KHAN,M,39,GEN,BSP,39600,89,39689,294158,204405,19.5209404126602
16,Meerapur,MITHLESHPAL,F,53,GEN,RLD,22670,81,22751,294158,204405,11.1900253301527
16,Meerapur,None of the Above,,,,NOTA,1090,0,1090,294158,204405,0.53611391191009
16,Meerapur,SANDEEP KUMAR,M,29,GEN,NINSHAD,473,1,474,294158,204405,0.233135774537048
16,Meerapur,IMRANA,F,37,GEN,ABVCP,462,0,462,294158,204405,0.227233603029781
16,Meerapur,MOH. MOOSA,M,66,GEN,IND,451,0,451,294158,204405,0.22182327914812
16,Meerapur,NABAB ALI,M,35,GEN,IND,305,0,305,294158,204405,0.150013525809704
16,Meerapur,MOH. JISHAN,M,36,GEN,BMUP,290,2,292,294158,204405,0.143619506676832
16,Meerapur,ADESH KUMAR,M,52,GEN,IND,238,0,238,294158,204405,0.11705973489413
16,Meerapur,MANOJ SAINI,M,44,GEN,SHS,236,1,237,294158,204405,0.116567887268524
16,Meerapur,MOTIRAM,M,54,GEN,MKUP,199,1,200,294158,204405,0.0983695251211175
16,Meerapur,DHARAMVEER SINGH SAINI,M,67,GEN,JSP,174,0,174,294158,204405,0.0855814868553722
16,Meerapur,ANJUM KAMAL,M,37,GEN,IND,165,0,165,294158,204405,0.0811548582249219
17,Najibabad,TASLEEM AHMAD,M,56,GEN,SP,80924,158,81082,329566,215936,37.8145695364238
17,Najibabad,RAJIV KUMAR AGARWAL,M,52,GEN,BJP,78818,262,79080,329566,215936,36.8808879768678
17,Najibabad,JAMEEL AHMAD,M,37,GEN,BSP,44942,128,45070,329566,215936,21.0194944501446
17,Najibabad,LEENA SINGHAL,F,44,GEN,RLD,3568,19,3587,329566,215936,1.67288499207164
17,Najibabad,TAZEEM SIDDIQUI,M,31,GEN,AIMIM,2093,1,2094,329566,215936,0.976588004850294
17,Najibabad,None of the Above,,,,NOTA,1515,1,1516,329566,215936,0.707023598544912
17,Najibabad,UMESH KUSHWAHA DANI,M,35,GEN,IND,848,0,848,329566,215936,0.395485495755993
17,Najibabad,DHARA SINGH,M,52,SC,IND,784,0,784,329566,215936,0.365637533812144
17,Najibabad,SAMPURNANAND PANDEY,M,42,GEN,SAMSAMPA,447,0,447,329566,215936,0.208469359201567
17,Najibabad,ASARPAT SINGH,M,49,SC,IND,438,1,439,329566,215936,0.204738363958586
17,Najibabad,ASHFAK MAHIGEER,M,48,GEN,ADPT,393,0,393,329566,215936,0.183285141311445
17,Najibabad,HEMENDRA,M,46,GEN,BMF,236,1,237,329566,215936,0.110530734073314
17,Najibabad,KULDEEP,M,27,GEN,BBPP,184,0,184,329566,215936,0.0858128905885645
17,Najibabad,MOHD UMAR,M,67,GEN,GKP,175,0,175,329566,215936,0.0816155209402108
18,Nagina ,MANOJ KUMAR PARAS,M,50,SC,SP,76968,177,77145,328589,209903,37.0049694923059
18,Nagina ,OMWATI DEVI,F,67,SC,BJP,69031,147,69178,328589,209903,33.1833531601366
18,Nagina ,VIRENDRA PAL,M,31,SC,BSP,49576,117,49693,328589,209903,23.8367742430638
18,Nagina ,NEELAM,F,26,SC,AIMIM,4383,2,4385,328589,209903,2.10339997697533
18,Nagina ,DR.PHOOL SINGH CHAUDHARY,M,45,SC,PECP,2539,2,2541,328589,209903,1.21886872097932
18,Nagina ,YADRAM SINGH CHANDEL,M,52,SC,RLD,2110,3,2113,328589,209903,1.01356537088914
18,Nagina ,None of the Above,,,,NOTA,1431,0,1431,328589,209903,0.686423116773476
18,Nagina ,CHANDRVIR SINGH,M,46,SC,IND,684,1,685,328589,209903,0.32858129628919
18,Nagina ,VIJAY,M,40,SC,IND,636,0,636,328589,209903,0.305076940788211
18,Nagina ,MANOHAR,M,67,SC,IND,555,0,555,328589,209903,0.26622280210292
18,Nagina ,CHIRANJEE  LAL,M,54,SC,BLSP,493,0,493,328589,209903,0.236482597183315
18,Nagina ,JAGDISH SINGH,M,59,SC,IND,446,3,449,328589,209903,0.215376645304885
18,Nagina ,SARVESH ALIAS SHABNAM,F,40,SC,VIP,285,2,287,328589,209903,0.137668367934303
18,Nagina ,SAPNA,F,33,SC,NAAP,170,1,171,328589,209903,0.08202540389117
18,Nagina ,SATENDRA KUMAR,M,28,SC,GKP,141,0,141,328589,209903,0.067634982155877
19,Barhapur,SUSHANT KUMAR,M,28,GEN,BJP,78597,147,78744,338100,222149,35.5354185375892
19,Barhapur,HUSAIN AHMAD,M,59,GEN,INC,68782,138,68920,338100,222149,31.1020654984589
19,Barhapur,FAHAD YAZDANI,M,36,GEN,BSP,50551,133,50684,338100,222149,22.8725636640147
19,Barhapur,DR INDRA DEV SINGH,M,63,GEN,IND,6158,32,6190,338100,222149,2.79340953910999
19,Barhapur,RADHA,F,37,GEN,RLD,3443,6,3449,338100,222149,1.55645710830216
19,Barhapur,KULVEER SINGH,M,62,GEN,IND,3157,7,3164,338100,222149,1.4278429372769
19,Barhapur,NIHAL SINGH,M,70,GEN,BAHAP,1584,2,1586,338100,222149,0.715726579810734
19,Barhapur,ABID ANSARI,M,36,GEN,IND,1466,2,1468,338100,222149,0.662475800228347
19,Barhapur,TAHIR HUSAIN,M,57,GEN,IND,1110,0,1110,338100,222149,0.5009183503089
19,Barhapur,NIRMAL MISHRA,M,49,GEN,IND,963,0,963,338100,222149,0.434580514727451
19,Barhapur,AJAY KUMAR,M,36,GEN,GKP,845,0,845,338100,222149,0.381329735145063
19,Barhapur,MONIKA AHLAWAT,F,32,GEN,IND,748,0,748,338100,222149,0.337555789217168
19,Barhapur,ROHITASH,M,47,GEN,IND,596,0,596,338100,222149,0.268961564670364
19,Barhapur,BIRJESH,M,47,GEN,PECP,562,0,562,338100,222149,0.253618119705947
19,Barhapur,None of the Above,,,,NOTA,556,0,556,338100,222149,0.250910452947521
19,Barhapur,CHANDRA SHEKHAR,M,31,GEN,IND,523,1,524,338100,222149,0.236469563569246
19,Barhapur,GAJALA TAUSIF,F,31,GEN,IND,409,0,409,338100,222149,0.184572617366072
19,Barhapur,JAYPAL SINGH,M,60,GEN,IND,358,0,358,338100,222149,0.161557449919447
19,Barhapur,TODA SINGH,M,68,GEN,BSRD,343,2,345,338100,222149,0.155690838609523
19,Barhapur,SAMLESH SAINI,F,58,GEN,BLSP,276,1,277,338100,222149,0.125003948680689
19,Barhapur,SHAILENDRA PRATAP,M,35,GEN,IND,253,0,253,338100,222149,0.114173281646983
19,Barhapur,MUKUL,M,32,GEN,IND,206,0,206,338100,222149,0.0929632253726426
