AC NO,Winner,Sex,Party
296,Prateek Bhushan Singh,M,BJP       
297,Bawan Singh,M,BJP       
298,Ajay Pratap Singh,M,BJP       
299,Prem Narayan Pandey,M,BJP       
300,Ramapati  Shastri,M,BJP       
301,Prabhat Kumar Verma,M,BJP       
302,Amar Singh Chaudhary,M,ADAL      
303,Shyam Dhani,M,BJP       
304,Jai Pratap Singh,M,BJP       
305,Dr. Satish Chandra Dwivedi,M,BJP       
306,Raghvendra Pratap Singh,M,BJP       
307,Ajay Kumar Singh &#39;&#39;Ajay Singh&#39;&#39;,M,BJP       
308,Chandra Prakash Alias Ca Chandra Prakash Shukl,M,BJP       
309,Sanjay Pratap Jaiswal,M,BJP       
310,Dayaram Chaudhary,M,BJP       
311,Ravi Kumar Sonkar,M,BJP       
312,Rakesh Singh Baghel,M,BJP       
313,Digvijay Narayan Alis Jay Chaubey,M,BJP       
314,Shri Ram Chauhan,M,BJP       
315,Bajrang Bahadur Singh,M,BJP       
316,Aman Mani Tripathi,M,IND       
317,Premsagar Patel,M,BJP       
318,Jaimangal,M,BJP       
319,Gyanendra,M,BJP       
320,Fateh Bahadur,M,BJP       
321,Mahendra Pal Singh,M,BJP       
322,Dr. Radha Mohan Das Agrawal,M,BJP       
323,Bipin Singh,M,BJP       
324,Sheetal Pandey,M,BJP       
325,Sant Prasad,M,BJP       
326,Sangeeta Yadav,F,BJP       
327,Vimlesh Paswan,M,BJP       
328,Vinay Shankar Tiwari,M,BSP       
329,Jatashanker Tripathi,M,BJP       
330,Swami Prasad Maurya,M,BJP       
331,Ajay Kumar Lallu,M,INC       
332,Ganga,M,BJP       
333,Rajnikant Mani Tripathi,M,BJP       
334,Pawan Kumar,M,BJP       
335,Ramanand Baudh,M,SBSP      
336,Jai Prakash Nishad,M,BJP       
337,Janmejai Singh,M,BJP       
338,Surya Pratap Shahi,M,BJP       
339,Kamlesh Shukla,M,BJP       
340,Ashutosh,M,SP        
341,Kali Prasad,M,BJP       
342,Suresh Tiwari,M,BJP       
343,Dr.Sangram Yadav,M,SP        
344,Nafees Ahmad,M,SP        
345,Bandana Singh,F,BSP       
346,Shah Alam Urf Guddu Jamali,M,BSP       
347,Durga Prasad,M,SP        
348,Alambadi,M,SP        
349,Arun Kumar Yadav,M,BJP       
350,Sukhdev Rajbhar,M,BSP       
351,Azad Ari Mardan,M,BSP       
352,Kalpnath Paswan,M,SP        
353,Dara Singh Chauhan,M,BJP       
354,Fagu Chauhan,M,BJP       
355,Shriram Sonkar,M,BJP       
356,Mukhtar Anshari,M,BSP       
357,Dhananjay Kannoujia,M,BJP       
358,Uma Shanker Singh,M,BSP       
359,Sanjay Yadav,M,BJP       
360,Upendra Tiwari,M,BJP       
361,Anand,M,BJP       
362,Ram Govind Chaudheri,M,SP        
363,Surendra,M,BJP       
364,Ramesh Chandra Mishra,M,BJP       
365,Shailendra Yadav Lalai,M,SP        
366,Girish Chandra Yadav,M,BJP       
367,Parasnath Yadav,M,SP        
368,Sushma Patel,F,BSP       
369,Jagdish Sonkar,M,SP        
